Year ,US 3-Month T-Bills,US 10-Year T Bonds,S&P 500,Gold,AAPL,BAC,BA,JNJ
1995,1.055,1.235,1.372,1.010,0.857,1.576,1.706,1.598
1996,1.050,1.014,1.227,0.954,0.667,1.449,1.351,1.198
1997,1.051,1.099,1.331,0.786,0.625,1.277,0.953,1.343
1998,1.048,1.149,1.283,0.992,2.583,1.014,0.676,1.306
1999,1.046,0.917,1.209,1.009,2.484,0.855,1.275,1.141
2000,1.058,1.167,0.910,0.946,0.262,0.99,1.662,1.155
2001,1.034,1.056,0.882,1.007,1.5,1.401,0.634,1.174
2002,1.016,1.151,0.780,1.256,0.6,1.145,0.882,0.928
2003,1.010,1.004,1.284,1.199,1.455,1.183,1.27,0.951
2004,1.014,1.045,1.107,1.046,3.031,1.236,1.254,1.252
2005,1.031,1.029,1.048,1.178,2.274,1.035,1.401,0.975
2006,1.047,1.020,1.156,1.232,1.134,1.183,1.28,1.097
2007,1.044,1.102,1.055,1.319,2.367,0.813,0.995,1.03
2008,1.014,1.201,0.634,1.043,0.438,0.375,0.504,0.934
2009,1.002,0.889,1.259,1.250,2.324,1.056,1.243,1.098
2010,1.001,1.085,1.148,1.292,1.506,0.853,1.19,0.99
2011,1.001,1.160,1.021,1.120,1.23,0.394,1.132,1.082
2012,1.001,1.030,1.159,1.057,1.306,2.013,1.04,1.103
2013,1.001,0.909,1.321,0.724,1.048,1.298,1.806,1.332
2014,1.000,1.107,1.135,1.001,1.426,1.12,0.973,1.18
2015,1.001,1.013,1.014,0.879,0.979,0.952,1.141,1.012
2016,1.003,1.007,1.118,1.081,1.124,1.366,1.145,1.179
2017,1.009,1.028,1.216,1.127,1.48,1.331,1.931,1.237
2018,1.019,1.000,0.958,0.991,0.93,0.839,1.108,0.952
2019,1.021,1.096,1.312,1.191,1.887,1.443,1.029,1.174
2020,1.004,1.113,1.180,1.242,1.782,0.864,0.654,1.098
